0.14439,0.14429,0.00010,2
0.76061,0.74130,0.01931,2
0.86132,0.85917,0.00215,2
0.86707,0.86343,0.00364,2
1.14550,1.12682,0.01868,2
1.62558,1.62548,0.00010,2
1.65515,1.65505,0.00010,2
2.34100,2.33996,0.00105,2
2.59393,2.58790,0.00602,2
2.63571,2.61565,0.02006,2
3.67778,3.66375,0.01402,2
4.10244,4.08228,0.02016,2
6.85832,6.85822,0.00010,2
7.96801,7.96791,0.00010,2
10.12815,10.10915,0.01901,2
11.01742,11.01732,0.00010,2
12.61919,12.61396,0.00522,2
13.43273,13.41503,0.01770,2
13.90713,13.90226,0.00487,2
15.42179,15.41420,0.00759,2
16.10417,16.09454,0.00964,2
16.30007,16.29092,0.00914,2
17.78388,17.77202,0.01186,2
18.06005,18.04808,0.01197,2
18.92835,18.92231,0.00604,2
19.74044,19.72242,0.01802,2
20.57016,20.56451,0.00566,2
22.61896,22.61046,0.00850,2
23.32820,23.32160,0.00660,2
23.76172,23.75296,0.00875,2
24.71589,24.70963,0.00626,2
24.97685,24.97675,0.00010,2
26.98242,26.95019,0.03223,2
28.67772,28.67762,0.00010,2
29.79804,29.79587,0.00218,2
30.78247,30.77834,0.00413,2
30.96395,30.95638,0.00756,2
31.29631,31.28266,0.01366,2
31.69146,31.68492,0.00654,2
32.18546,32.18013,0.00533,2
32.32161,32.30060,0.02100,2
32.57308,32.55618,0.01691,2
32.60559,32.59412,0.01147,2
33.83875,33.82504,0.01371,2
34.09535,34.08798,0.00737,2
35.14366,35.14091,0.00275,2
35.54054,35.53116,0.00939,2
35.89533,35.89523,0.00010,2
36.27200,36.26692,0.00508,2
36.28897,36.28051,0.00846,2
38.31951,38.31226,0.00724,2
38.74568,38.74558,0.00010,2
39.31413,39.31299,0.00114,2
40.41072,40.41062,0.00010,2
40.81861,40.80427,0.01434,2
41.08361,41.05817,0.02544,2
43.77472,43.77462,0.00010,2
44.93673,44.93663,0.00010,2
45.21536,45.20414,0.01123,2
45.41728,45.40132,0.01596,2
46.85854,46.84072,0.01782,2
47.32071,47.31758,0.00313,2
49.34926,49.34128,0.00798,2
49.38929,49.38919,0.00010,2
50.91423,50.91210,0.00213,2
51.16756,51.16746,0.00010,2
53.40360,53.38185,0.02175,2
54.01577,54.01567,0.00010,2
55.78015,55.77468,0.00547,2
55.96343,55.96333,0.00010,2
56.09028,56.07194,0.01833,2
59.62262,59.60568,0.01694,2
59.92142,59.91486,0.00656,2
60.99587,60.97712,0.01875,2
61.90937,61.90362,0.00575,2
61.97451,61.97441,0.00010,2
65.89354,65.88418,0.00936,2
66.97786,66.97776,0.00010,2
67.34731,67.34504,0.00226,2
67.69893,67.67691,0.02202,2
68.75880,68.75451,0.00429,2
69.15527,69.15517,0.00010,2
71.39680,71.39488,0.00192,2
72.19291,72.18255,0.01035,2
72.47418,72.47408,0.00010,2
72.54783,72.54773,0.00010,2
72.90837,72.89148,0.01689,2
74.89369,74.89359,0.00010,2
76.48189,76.47835,0.00354,2
77.22136,77.20417,0.01718,2
79.46350,79.46340,0.00010,2
81.82748,81.79746,0.03003,2
82.99746,82.99736,0.00010,2
83.18741,83.16932,0.01809,2
83.49728,83.47855,0.01873,2
84.29483,84.27681,0.01802,2
84.80180,84.79853,0.00327,2
84.83782,84.82651,0.01131,2
85.68329,85.68319,0.00010,2
85.83222,85.83212,0.00010,2
87.60200,87.59793,0.00407,2
88.55789,88.54990,0.00799,2
89.60803,89.60440,0.00362,2
90.92274,90.92264,0.00010,2
91.57451,91.57441,0.00010,2
92.39652,92.39642,0.00010,2
92.44602,92.44592,0.00010,2
94.56159,94.54504,0.01655,2
95.75758,95.74105,0.01653,2
96.98284,96.96584,0.01700,2
98.93120,98.92271,0.00848,2
99.21977,99.21967,0.00010,2
